Variant,Antibody,Log_Kd,Log_Kd_SE,Max_Conc
Delta,EP1F4,1.061103083,0.034922735,25
Wuhan,EP2G4,-2.052082683,0.071318222,10
Beta,EP2G4,-1.593842518,0.059702573,10
Gamma,EP2G4,-2.164278825,0.21878528,10
Mu,EP2G4,-1.663346916,0.080786072,10
Lambda,EP2G4,-1.990689768,0.087943416,10
Delta,EP2G4,-1.906609238,0.061527632,10
Omicron,EP2G4,-1.68074955,0.081976892,10
Wuhan,EP3C11,1.711199043,0.018516484,25
Beta,EP3C11,1.756918123,NA,25
Lambda,EP3C11,1.702421667,0.086383922,25
Delta,EP3C11,-1.173532084,0.074384182,25
Omicron,EP3C11,1.483939658,0.672562635,10
Wuhan,EP3F2,1.53544636,0.353144743,10
Gamma,EP3F2,1.150790957,0.072791637,10
Mu,EP3F2,1.207809273,0.181150607,10
Delta,EP3F2,1.753867985,NA,10
Omicron,EP3F2,1.612633494,0.083252706,10
Wuhan,KP1B4,1.01030628,0.057778345,25
Beta,KP1B4,1.338601812,0.187526262,25
Lambda,KP1B4,0.712758399,0.114892373,25
Delta,KP1B4,0.446865748,0.077744588,25
Omicron,KP1B4,1.570281491,0.060681525,10
Wuhan,KP1B5,0.298392677,0.12821805,10
Beta,KP1B5,0.348335681,0.071818813,10
Mu,KP1B5,1.065528478,0.087214178,10
Lambda,KP1B5,-0.660365712,0.102336373,10
Delta,KP1B5,-0.142309336,0.062596722,10
Omicron,KP1B5,0.094101305,0.059342156,10
Wuhan,KP1C9,-0.807701744,0.180371802,10
Beta,KP1C9,1.163730304,0.094135527,10
Gamma,KP1C9,0.597477618,0.04368115,10
Mu,KP1C9,0.661960745,0.040877616,10
Lambda,KP1C9,-2.591726646,0.047148525,10
Delta,KP1C9,-0.857154749,0.074573638,10
Omicron,KP1C9,1.154409869,NA,10
Wuhan,KP1D5,-1.768146441,0.18032556,25
Beta,KP1D5,-1.315821403,0.091543373,25
Lambda,KP1D5,-1.543241922,0.14471944,25
Delta,KP1D5,-1.68233639,0.15227222,25
Wuhan,KP1G11,-1.469617587,0.061619082,10
Beta,KP1G11,-0.719046464,0.128964835,10
Gamma,KP1G11,-1.412119997,0.064804829,10
Mu,KP1G11,-0.976333846,0.079323872,10
Lambda,KP1G11,-1.359021729,0.061735788,10
Delta,KP1G11,-0.911565601,0.055169362,10
Omicron,KP1G11,-1.286127864,0.074630046,10
Wuhan,KP2A10,1.298516708,0.035308576,25
Beta,KP2A10,1.527134156,0.017343765,25
Lambda,KP2A10,1.660390101,0.010084404,25
Delta,KP2A10,0.245068453,0.091038895,25
Omicron,KP2A10,0.56762793,0.052444118,10
Wuhan,KP2A7,1.130737173,0.139308655,25
Beta,KP2A7,1.632056885,0.022711965,25
Lambda,KP2A7,1.345256349,0.235073242,25
Delta,KP2A7,0.896554347,0.114181741,25
Omicron,KP2A7,1.003380271,0.114507951,10
Wuhan,KP2B10,1.288334906,0.037672129,25
Beta,KP2B10,1.825974232,0.219631139,25
Lambda,KP2B10,1.29947423,0.037770255,25
Delta,KP2B10,1.488431652,0.016854516,25
Omicron,KP2B10,1.440061651,NA,10
Wuhan,KP2C6,-0.503054841,0.05411046,10
Beta,KP2C6,0.809270674,0.388575247,10
Gamma,KP2C6,0.240111456,0.046746799,10
Mu,KP2C6,0.963964252,0.350048246,10
Lambda,KP2C6,2.064795096,0.164541263,10
Delta,KP2C6,-0.404753062,0.041675144,10
Omicron,KP2C6,1.15764793,0.150091617,10
Wuhan,KP3F12,1.236901711,0.147639152,10
Gamma,KP3F12,1.078235109,0.102017063,10
Delta,KP3F12,1.115036577,0.337415269,10
Omicron,KP3F12,1.204423458,0.061575762,10
Wuhan,KP3G12,1.332400264,0.167796078,10
Gamma,KP3G12,1.608503605,0.264945415,10
Delta,KP3G12,1.40347914,0.019571644,10
Omicron,KP3G12,1.283185184,0.101187005,10
Wuhan,huACE2-Fc,-1.568162694,NA,25
Alpha,huACE2-Fc,-1.884178207,0.94033371,25
Beta,huACE2-Fc,-0.065209518,0.078906932,25
Delta,huACE2-Fc,-0.498931189,0.048067944,25
Epsilon,huACE2-Fc,-1.437281665,0.095866527,25
Kappa,huACE2-Fc,-1.752729337,0.219296865,25
Lambda,huACE2-Fc,-0.010153398,0.082162664,25
Omicron,huACE2-Fc,0.138980423,0.100200021,25
